FECHA,HORA_UTC,LATITUD (grados),LONGITUD (grados),PROFUNDIDAD (Km),MAGNITUD Ml,MAGNITUD Mw,DEPARTAMENTO,MUNICIPIO,# FASES,RMS (Seg),GAP (grados),ERROR LATITUD (Km),ERROR LONGITUD (Km),ERROR PROFUNDIDAD (Km),ESTADO
2012-09-22,09:17:34,   6.785, -73.141, 140.4,  3.1,  3.3,SANTANDER,LOS_SANTOS,18, 0.40,66,  2.6,  2.4,  4.3,Revisado
2012-09-23,07:12:46,   6.791, -73.131, 147.6,  3.2,  3.3,SANTANDER,LOS_SANTOS,18, 0.50,55,  3.4,  3.0,  5.1,Revisado
2012-09-23,20:04:32,   6.834, -73.160, 142.3,  3.2,  3.4,SANTANDER,LOS_SANTOS,13, 0.40,64,  3.3,  2.6,  4.5,Revisado
2012-09-24,17:11:50,   6.564, -73.511, 113.2,  3.1,  3.2,SANTANDER,EL_CARMEN,18, 0.40,44,  2.3,  2.4,  4.8,Revisado
2012-09-25,16:02:34,   6.819, -73.147, 148.5,  3.8,  3.6,SANTANDER,LOS_SANTOS,20, 0.50,65,  3.5,  3.3,  4.8,Revisado
2012-09-26,02:22:25,   6.828, -73.142, 147.6,  4.1,  4.1,SANTANDER,LOS_SANTOS,18, 0.50,65,  3.5,  3.4,  5.4,Revisado
2012-09-27,17:31:27,   6.771, -73.056, 142.9,  3.0,  3.2,SANTANDER,LOS_SANTOS,12, 0.40,95,  3.8,  3.9,  5.4,Revisado
2012-09-28,07:56:11,   6.776, -73.137, 138.0,  3.2,  3.4,SANTANDER,LOS_SANTOS,15, 0.40,66,  2.4,  2.0,  4.2,Revisado
2012-09-29,07:59:44,   6.817, -73.138, 145.1,  3.1,  3.4,SANTANDER,LOS_SANTOS,15, 0.50,66,  3.7,  3.6,  6.2,Revisado
2012-09-30,00:01:04,   6.820, -73.144, 148.6,  3.2,  3.7,SANTANDER,LOS_SANTOS,20, 0.50,55,  3.3,  3.2,  5.1,Revisado
2012-10-08,10:17:54,   6.810, -73.119, 148.0,  3.1,  3.4,SANTANDER,LOS_SANTOS,19, 0.50,56,  3.7,  3.7,  5.2,Revisado
2012-10-09,14:42:43,   6.801, -73.135, 149.2,  3.6,  3.8,SANTANDER,LOS_SANTOS,25, 0.50,55,  3.0,  2.9,  4.3,Revisado
2012-10-10,23:34:51,   6.787, -73.145, 145.9,  3.3,  3.4,SANTANDER,LOS_SANTOS,18, 0.50,55,  3.2,  2.7,  4.6,Revisado
2012-10-11,05:16:59,   6.791, -73.146, 147.0,  3.2,  3.5,SANTANDER,LOS_SANTOS,15, 0.40,66,  3.0,  2.7,  4.9,Revisado
